,label,sent
0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","People are learning to grow with the basic skills and experience , so it is much more significant for young people to understand ideas and concepts than to learn the facts instead , and the reasons are as the followings ."
1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","First of all , knowing the concepts and ideas can help young people understand the rules of this world and see the common points exist between distinct people and things , which gives them the basic point of view about the society they live in ."
2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Besides , most of the facts happen according to the concept and their ideas ."
3,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","For instance , the young people are supposed to show respect to the elders in the society as the principles and a nice manner , like the government provide the elders more protection and help in finance and health care each year ."
4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In this case , everyone regards it as a right and valuable thing to do , so this rule goes on and on ."
5,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The young people know this rule will easily understand the way this society runs and come up with a right and fare opinion about this .
6,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","As a result , knowing the concepts is knowing the world properly and quickly ."
7,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The second is that the so called `` facts '' are numerous in this world and young people can not learn them all even in his whole life .
8,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",There are always some spacial cases in each field of facts that will confuse the young people who do not know the concepts and ideas of most of the things that happen around him .
9,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In that way , people is definitely having trouble in understand things and dealing with things they met ."
10,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","What is worse , the lack of knowledge of concepts will make the young people lose themselves ."
