,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",I think to understand ideas and concepts is more important for students than it is for them to learn facts .
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",The reason is that to understand ideas and concepts is more creative activities for students .
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","When we try to understand the ideas and concepts , we must consider lots of factors of ideas and concepts ."
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","At first we must confirm whose ideas or concepts they are , to add more information to them as the backgrounds ."
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","Next , we make analyse why they have the ideas or the concepts using acquired background information ."
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","After these processes , we can approach to the stage to make answers or own opinions ."
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","To get answers or opinions , students can make discussion with friends , parent , and brothers ."
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","In addition , they can get some suggestions from their teachers or they also can make investigation using books or internet to add more information ."
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",I think that these consequent processes are very important for students to develop their way of thinking .
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","In contrast , learning facts does not need such processes ."
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",It is easy to access the fact without any kind of thinking .
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","To learn facts , students just sit down on their seats in the class room and just listen to what their teacher says ."
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","In this case , the information is only given form their teacher to students ."
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","If students listen to what their teacher says and write down it on their notebook , they can get new knowledge ."
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",But do they use their brain to consider anything during this behaviour ?
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",The answer is no .
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",They just listen and move their hand to write .
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",These processes are not creative and maybe marines can do it completely .
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","In conclusion , I strongly think to understand ideas and concepts is more important for students than it is for them to learn facts ."
19,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",When we peek outside our houses the thing we can find in abundance outside our houses and on the roads is unrefutedly the Cars in different designs and colors .
20,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The cars have changed the way we travel .
21,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The invention of cars have brought a kind of a revolution in the times .
22,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",In addition to making the conveyance easier to saving time to accessing the remote areas cars have done almost everything to make our life more comfortable .
23,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",With the changing technologies and increasing economic growth i dont believe that the next twenty years in any way see a reduction in the cars .
24,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","This will be mainly because of the demand , advancement and status these four wheeled wonder is going to bring about ."
25,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",With the increase in the pocket income and incentives more and more people will be able to buy the cars .
26,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",After all who wants to experience the overcrowding in the buses and trains and the waste of precious time these inconvenient travelling measures bring about .
27,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The another factor which will increase the demand is the population growth .
28,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",With the population of the world sky rocketing the number of people who can avail the benefits of cars will increase and so do the cars .
29,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Also with the advancement in the technology we will witness a whole new genre of cars in the next twenty years .
30,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",When people see something new and innovative they have a urge to buy it even though they may be having an absolute version of it .
31,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",So there may be many people with two or three cars in the next coming years .
32,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Cars are frequently being associated with the social status of the people .
33,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The people try to get everything that will elevate their status .
34,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",In many families we see people having many cars .
35,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","One for going to office and other for social parties , other for children and hence enhancing their status with each car ."
36,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",With these kind of social attitudes the sale of cars is definitely going to increase .
37,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",So we dont see any reason why the sales of cars will decline and we will see fewer number of cars in the years to come .
38,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Though the excessive use of cars will create problems like traffic jams , chaos for parking , pollution and petroleum problems ."
39,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",But these problems will find a suitable solution .
40,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It just only needs cooperative effort and thinking .
41,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",So in the next twenty years we will witness more and also attractive cars down the road .
42,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Generally speaking , advertisements make products attractive and desirable ."
43,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Let me start from scratch , what is the point of an advertisement ?"
44,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It is of course to make sell .
45,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",And why would someone buy an object if it seems useless and uneffective ?
46,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","As a result , advertisement naturally tries to make a product look interesting ."
47,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","It is true that consequently , advertisements sometimes make a product seem much better than it really is ."
48,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Sometimes advertisements lie .
49,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Yet it is not necessarily in its own interest to lie to consumers since they are not so stupid , and once a consumer finds out that he had been betrayed , he will not buy the product of the advertisement anymore ."
50,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It might get even worst : the betrayed consumer may not buy any other products of this company .
51,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","That is why , advertisements must be careful about what they are claiming , and they ought to win the consumer 's trust by simply telling him what the true advantages of such or such product are ."
52,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Yet , it is also true that advertisements tends to emphasize the pros of an object and to hide its disadvantages ."
53,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",This is the implicit rule of business .
54,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Unfortunately , in occidental societies this rule is a general principle ."
55,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",One can not avoid it .
56,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",So one must not be gullible .
57,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","For these reasons , I am not shocked by advertisements even if they are false ."
58,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",One must simply be careful and read magazines about products that he wants to acquire .
59,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Besides , I believe that advertisement is a everyday enjoyment ."
60,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","It is part of our life , and i do think that they are some advertisements that are very well done and that are very enjoyable , even if they lie a little ."
61,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I prefer an interesting but lying commercial than a realistic boring one .
62,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Anyway the main goal of advertisements is to ; ake a product known right ?
63,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",And what is ; ore striking that a beautiful advertisement ?
64,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",in my opinion .
65,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",i beleave it is more important for students to understand ideas and concepts than it is for them to learn factslike speed and smoke .
66,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",for example when we talk about speed they must understand why it is dengues is better than if they have axcedant after that they learn .
67,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",second example like smoke hf they understand why it is dangerous and they leave it is better than if they were sick or feel bad .
68,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",finally i beleave it is more important for students to understand ideas and concepts it is for them to learn facts .
69,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",I disagree the statement that young people enjoy life more than older people do because of some reasons .
70,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","My some of the reasons to disagree that idea are ; first of all enjoying life does not connected to age completely , secondly when years are passed people get more experienced and finally older people understand life better than younger ones which help them to enjoy more ."
71,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","To begin with , lets try to define ` enjoying` ."
72,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Is enjoying related to your physical situation ?
73,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",what i think is that enjoying is having fun and being happy in a certain time period which is not dependent to your physical situation but your mental property .
74,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","you can be very healthy about your muscles , organs and all your body but it doesnt mean anything if your mental condition is alright ."
75,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","Additionally , experience is very important in life to enjoy it ."
