,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Travelling is an activity that most individuals enjoy , may it be for its adventurous quality , innate curiosity for the unknown or the joy of simply having a relaxing vacation ."
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",This leads to the next question : Is the best way to travel in a group led by a tour guide ?
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Personally , I believe the response to this question depends on the individual , his or her expectations and above all , the opportunity costs that this person is willing to take ."
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Travelling with a tour guide can imply a series of opportunity costs that some people are unaware of , such as the beauty of the adventure and the immersion in the culture ."
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","On one side , travelling with a tour guide has its pros ."
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","For instance , if there is a limited time to travel this can be efficient , less expensive and in essence the most important places will be visited ."
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","There is no uncertainty as to where to go , what to do or how to plan the day ."
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",It simply is relaxing and enjoying your time .
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","However , there are a series of opportunity costs inherent in this decision ."
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","For starters , who says that the tour guide will be fun ?"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",A couple months ago I travelled to Manchu Pitch with two friends ; we backpacked .
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","It was an amazing experience because the spontaneity , the adventurous nature of the experience and above all the liberty to do what we wanted was truly priceless ."
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Not only did we meet a series of travellers along the way , but we also got to immerse ourselves in the culture ."
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","I have to say this has been one of the best trips I have taken in my life ; I would truly recommend anyone to be brave , take a risk and enjoy the beauty of true travel ."
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",From personal experience I have to say that travelling without a tour guide is the best way to go .
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","It is important to go informed , but even the getting lost and not knowing where to go form part of the magical experiences of travel ."
16,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I strongly agree that the young people nowadays donor give enough time to their communities .
17,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Young people who are generally considered as the major force , the future of the any nation ironically dont spend much of the time helping the communities ."
18,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","They generally donor raise voices against the injustice , against the activities carried by the malicious minds present in our society ."
19,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Firstly the young people of nowadays are generally to obsessed by self - needs that they donor tend to think of the society .
20,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The term too - selfcentered is the best to describe the young generation of the era .
21,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The need of money , the self problems like emotional ones tends to isolate the young people form the community as a whole for example the software graduate are willing to work for long hours in order to earn more money ."
22,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The greed for money could be for family or for themselves whatever might be the reason he is deprived of his valuable time .
23,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The problem can only be solved by the satisfaction in less money not by absence of it .
24,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The solution to the emotional problem is that young people should involve in the family more for the emotional support The more spare time they have the more the involvement is there form the part of the youngsters .
25,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The second most important reason is the laws , procedure and policies of the government are as such as the young people tend to think twice before helping and trying to raise the voices in favor of their communities ."
26,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",For example if their is problem regarding the demolishing of the houses of their communities if the young people want to raise their voices they might end up in the jail .
27,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",This is the result of the flaws of the laws and policies of the government .
28,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The solution to the problem is the laws and policies should be such that young people are not scared against helping their community .
29,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The less greed for money accompanied with the work - satisfaction & the laws and policies which are not harsh will generally encourage the young people nowadays to help the communities .
30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Knowledge is a very important aspect of a person 's life .
31,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",It influences the position of the person in the society .
32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Everybody relies on knowledge to make things easier .
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Regarding the statement `` It is better to have broad knowledge of many academic subjects than to specialize i one specific subject . ''
34,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",I fell that the person with specific knowledge on one subject is better of with the person having broadledge base .
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","As we normally taunt the persons with broad knowledge as `` Jack of all trades , master of none '' we send the information that for a person to be succesful in life it is the specific knowledge that comes to the picture ."
36,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Professionally a person with specific knowledge is proffered to the person with a broad knowledge base .
37,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Suppose a patient suffering from a heart disease approaches a cardiologist and not a general surgeon .
38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",As the saying goes `` rolling stone gathers no moss '' tells that the person who keeps changing his subject on not constant in his academic interests will gather no useful knowledge .
39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","On the flipside , age is a major factor in deciding the knowledge we have to acquire ."
