,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",I agree .
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Most of the students are always trying to learn about things that they even understand about , they just are repeating things with out a little notice about the topic because some times the only matter it 's to obtain a good grade , I understand that when you are trying to repeat and studying hard something just for accomplish a good grade it its more difficult to remembered in the future , and it 's more difficult to practice it in a live time as an experience wath you had study just for a fact ."
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","If we are talking about students I think that the main focus should be not how hard they study because in that case this student will be measured by his memory skills and what for a student should be graded is by his appendice experience that 's what make people competitive see how hard they learn by understanding , and the only way to get student into the leaning experience is by first teaching them to understand , so lets give them the importance in how to learn by a clear slide about the idea of commence ."
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","In other way to support my though its by the importance of empty in all relations and this is the meaning of understanding the other part , so this understanding process it has positive impacts in all professional , academic , business and personal issues having a clear image of an effective understanding process and I think that in the order that you understand something in that order you 'll be succesful and in most of the times success is the meaning of happiness , so let 's promote the understanding between our students , let 's try to make them happy so they can give us back a good and ethical work that our society its demanding"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",This is just my personal point of view
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",I think that it is better to specialize in one specific subject than to have broad knowledge of many academic subjects .
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",In fact ; you may come across few situations that some people have broad knowledge of many academic subjects .
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",But you ca n't see this kind of people generally .
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Because they are very clever and handworker than the normal people .
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","If we talk about in general except this kind of people , I agree with the statement about specializing in one specific subject ."
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",The first reason of this choice is that the concentration on one subject is easier than more subjects .
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","you can focus on that subject , make good preparations and think much ways of that subject many times ."
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Second you may not have much time for being qualified in many subjects .
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",So you can spend your time only one subject and get more information and make yourself well educated about that subject .
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","Otherwise , you are supposed to dividing your time and power all the subjects that you interest in ."
