,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Travelling alone or with group will depends on ones personality and travelling habits .
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",I have more positive experiences in travelling with group than travelling alone .
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",So i like to travel with grouplet led by a tour guide .
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Travel with group is more stress free , organized , safe and less expensive ."
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Usually for group travelling , one will take care of the tickets booking , hotels reservation etc. group will decide when its time to start , which place is nice to stay ."
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",So i do n't need to worry about these things and can enjoy the trip with out any stress .
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Last year , I visited India with a group led by a guide and i felt my trip was stress free ."
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",My group leader organized travelling and reservations and my tour guide take me to all the important places .
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Guide will take the group and show everything that group need to see in that area .
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","In this way , i do n't need to spend my whole evening planning for next day events ."
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",This is so time saving .
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","This way , i can concentrate on other things like enjoy my evening spa in the hotel spa room or meet new friend in the party etc ."
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Group travel is more safe .
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",All ways you have some one along with you and take care of you if needed .
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",It is easy for you to recover from sickness since somebody is taking care of you .
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Especially with long trips , if you are sick in the trip and you travel alone then it is very hard to recover from the sickness ."
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Since all the expenses are shared among the group members , i will pay less money than i pay , if i travel alone ."
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",I strongly belive that travelling with group led by a tour guide will give more stress free trip in an organized fashion with less money and more safety .
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",Some people may think specializing in one specific subject is better .
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","However , personally , I believe it is better to have broad knowledge of many academic subjects ."
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",There are two reasons for this .
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",The primary reason is that the new areas of academic subject have been created often by combining some subjects .
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","For example , portfolio mazement theory which won Novel Prize was created by combination of mathmatics/statistics and economics ."
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","If the researcher who won the prize was engaged only in traditional economics , it was impossible for him to develope this epochmaking theory ."
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","In general , the evolution of the area of Finance theory has been depending on the combination of math , statistics , economics , phycology , and a lot of other subject ."
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",This is quite good thing .
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",Another reason is that it is good for the future convenient of both students and professors to have broad knowledge .
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","In other words , broad knowledge increases the probability that they can turn their academic area into good direction ."
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","For instance , one of my professors in university who has been an expert of computer science developed his career in new area , the law of patent ."
29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","While he has studied computer science , he has become aware that the new technology can not alway be money ."
30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",The obstacle for him was the law of patent .
31,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","After being an expert of the law of patent , he is respected as an expert who can understand technology and the law related to patent ."
32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","Considering with all of the above factors , I would like to claim that we should acquire broad knowledge of many academic subjects rather than specialize in just one specific subject ."
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","By acquiring broad knowledge of many academic subjects , we can increase the probability to create new academic area and to develope our career flexibly ."
34,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In modern statistic , 90 % of the public prefer to study specific knowledge ."
35,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In my opinion , to support this , it is better to have specialize and specific knowledge for several reasons ."
36,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","You will be able to organize your think , focus on specific details and increase the opportunity to offer a jub for every body ."
37,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","First of all , if a student took chemistry as a his own major he is not going to be buildired between the other materials such as Physics , history etc ."
38,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","So , his think will be related to Chemistry and he is going to be successful with his major ."
39,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Secondly , the student want to success in his major by giving his concentration to the material he studies ."
40,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","As we can see , the student will be capable in his major ."
41,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","If he took Music as a major beside Chemistry , he is going to struggle with these different sciences ."
42,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","These days , everybody want a specific job ."
43,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","So , if we give everybody the broad knowledge , all of them become qualified at the same rate which means lacking the chances to have a perfect job ."
44,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","On the other hand , if we have students who are specialists in different knowledge , the opportunity to hav of , course , a job will increase"
45,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The youth of this generation , who have been able to create a place of their own , who have been able to mark a positon in the society are the young people of today 's world ."
46,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",They are able to make up to this position through a hard toiled path which includes their own efforts as well as their parents and elders views and difficult sacrifices made by them .
