,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Yes , i agree that young people do not give enough time to help their community because they are more involved in their academic schedule and they have got no time to serve the community due to their involvement in their jobs and other freak outs ."
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","Now a days the academic schedule is so fixed that the young people are not getting time to spend with the society and are busy with their lessons , projects , etc ."
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",As the proverb says `` untill we care one none cares us '' .
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",The part time jobs play an important role to earn money .
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",They are the major source of money today .
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","so young people spend their extra time in part time jobs than helping the community , thinking of the money not about the society ."
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Not remembering that `` service to the society is service to the nation '' .
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",Even the self enjoyment and freakouts got major importance in over coming once stress .
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",so young people prefer it rather than serving the community .
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",because entertainment is getting prevailed in this modern world .
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",I finally conclude that young people nowadays do not give enough time to help their community .
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",I believe those who think there will be fewer cars in the future are wrong for several reasons .
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","It is usually fancy to think that the world will change in radical ways in twenty years , and by radical I mean our great dependence on cars for transportation ."
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",For that to happen we must be introduced to newer means of transportation that will be cheap and available and that should provide several advantages such as being faster and not having traffic problem .
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","The only innovation that might help reduce the number of cars is teleportation , that is transfer of matter from one place to another via light waves ."
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","However , this is unlikely to take place and catch up in twenty years ."
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","Another possible invention that might take up the place of cars might be small airplanes that use highways in the air , but since we will very probably still call these vehicles ` cars ' the total number will not decrease ."
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","And as in my previous discussion , the price of these vehicles will be too exorbitant to make they good buys , at least for the average consumer ."
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",The only argument that might favor a reduction in the number of cars is the impending scarcity of petroleum and the entailing increase in oil prices .
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",This argument can not hold because scientists will have invented new energy sources that can replace today 's oil .
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",In fact there is one more possible reason for people 's finally giving up their cars and deciding to walk to their destinations .
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","People , especially those living in big cities , may say that they are fed up with traffic and regret the years they lose in traffic , and thus discontinue driving forever ."
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Come to think of it there is still another possible explanation for fewer car .
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","Maybe people will become very conscious and conscientious creatures in the following twenty years and say that they have polluted the environment , stressed themselves out , and harmed their physical healths more than enough ."
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",This way they will send their cars to junkyards for recycling and contribute to world economy .
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","Surely enough , each of these assumptions is beyond the reasonable limits of the mind ."
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","Therefore , I can safely assume that in twenty years there will be more cars in our streets that there are today ."
27,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","It is a very common idea that there are two different ways of what can be called ` learning ' , for a student in a school ."
28,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The first way is to learn about a subject by understanding how it works and the concepts that are below it .
29,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The other way is more mechanical and implies learning facts about this subject .
30,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","I agree with the statement , that is I think that in most situations , when one has to choose , he had better to understand the ideas and concepts than just learn facts ."
