,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I completely agree with the statement that it is better to have broad knowledge of many academic subjects than to specialize in one specific subject .
1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In today 's fast and constantly changing world , with globalization taking place at a furious pace , a person should be a Jack of all trades to excel in life ."
2,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It is better to have a broad knowledge and know all the aspects involved than just to limit the scope .
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Take for example an Industrial Engineering Graduate .
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Industrial Engineering being a generalized branch , the student has got a broad knowledge of all the industries be it Manufacturing , Software , Healthcare , Finance ."
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",After graduating from the college he can fit into any type of industry .
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Getting a job is not a problem for him because he has got a variety of options to choose from .
7,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Even if he wants to set up his own manufacturing firm , he has the knowledge of finance and manufacturing ."
8,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",He can put to use his knowledge and work effectively .
9,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",He will not have to rely on people from other fields for advice .
10,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",He can be his own boss .
11,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Specialization limits the scope of individual .
12,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It restricts him .
13,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It makes learning monotonous .
14,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","After an individual is done with his studies , it also becomes difficult for him to find a job , which suits his requirements and interests appropriately ."
