,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Nowadays young people are more concerned about their ownself than helping their community .
1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Everyone is becoming selfish and mean .
2,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",They see only their benefit and not the others .
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","For them , social life is important till the time it gives them enjoyment and self satisfaction ."
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",After the satisfaction is over they turn to some other place where they have reason to go .
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","When young people do n't find any reason that gives them some benefit , they will not turn to that side also where others want some help ."
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I have realised this from my personal experience .
7,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Once I thought to teach some students from my colony .
8,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Specifically those who are staying in our neighbourhood and have problem in studying .
9,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I told my friend about the same and asked her to help me in the matter .
10,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",She laughed at me and said she would prefer doing something which will pay me and will give more enjoyment .
11,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I didnt listen to her and started a common class at my home for my neighbourhood children .
12,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I tied improving their reading skills in which all were lacking .
13,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","By reading anyone can go anywhere in the world without hesitation , can gain knowledge about various topics . ."
14,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Reading is an important factor which mostly parents and teachers overlook .
15,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It should be a general habit of every student which students dont realise in elementary classes .
16,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Teenagers are more concerned about the parties and clubs but least bothered about the people around us .
17,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The attitude of is so rude towards elders and even youngers .
18,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",We are educated and talented so we should take the best output from our education and knowledge by helping others .
19,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Young generation coming up should think about others also , if not the whole world then least a minor part near to them to make some changes and improvement in the system ."
20,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Young people are the future of the country leading to the world ' future .
21,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I do agree that young people nowadays dont give anough time to help their communities and this can be changed only if an individual wants to change .
22,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The statement at hand is a very abatable one and may have readers split depending upon his or her views about the future .
23,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",A person who is pessimistic about the future or not very updated with the latest development in technology may have his views split with a person who is updated with the latest news and technology advancements .
24,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","By looking from a pessimistic point of view a person may agree that with the growing demand of oil , not failing the mention the increasing oil prices one would suggest that the oil reserves would be over in few decades or the prices of oil would shoot up far too high for the common man to afford ."
25,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Both of the assumptions lead the consequence of fewer cars being able to run on roads .
