,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Enjoyment is an obscure term .
1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",It is very relative in its meaning and varies from person to person .
2,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","But the final denouement of an enjoyment is joy , happiness , a time to forget our worries and to be cheerful and optimistic ."
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",So a young guy possibly enjoys more in the company of his girlfriend than he does that at home .
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Or an old man enjoys more with his grandchildren than in exploring new restaurants and tastes .
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The reason to write preceding lines is to construe that the term enjoyment does n't lessens with age but it redefines its meaning with age .
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",And that is why I disagree with what is implied in the issue  -  enjoying life declines with age .
7,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","For , most of the people who would be in consensus with this topic , will have a portrait of an old man in their mind , who 's very feeble and is on verge of collapse and for the young the 'll possibly think of a nocturnal creature who never leaves a chance to party ."
8,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","But if we think in a different direction , and imagine that oldies are not always feeble ."
9,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The great politicians ruling our country , the businessmen , entrepreneurs , critics , film directors , novelists and every person who 's having a very prominent place either in corporate world or society , very rarely we find a stint of young in them ."
