,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","I most certainly agree with this statement , `` Most advertisements make products seem much better than they really are '' ."
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",The two examples of my experience and aspects of magazine workers will verify the truth of my position .
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","A few days ago , my mother both a car cleaner which was advertised on television ."
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",The advertisement was too exaggerated .
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",It said that every scratch can be raised with that product .
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","After my mother saw that advertisement , she bought one without hesitation because recently her car got a big scratch somehow ."
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","However , my mother and I found that it does not work as it advertised ."
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",We knew that we were deceived and decided not to believe anything advertised but only the experience of the others .
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",There is another example .
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","When I read the magazines , I always want to buy something advertised no matter it is expensive or not ."
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","By people who always focusing on selling the products to consumers , many magazines are decorated with fancy words and exaggerations ."
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",We need to consider about that group of people .
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","In that peoples respect , they do not make products but only thing they have to do is make advertisements great so that they need to draw people ."
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Their only purpose is to make people to buy that product which means they make advertisements make products seem always nice and perfect .
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Who would show their shortcoming of products ?
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","Because of the examples above , I believe that most advertisements make products seem much better than they Relly are ."
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Every consumers have to be wise consumers which means they need to compare the real products and the advertisements before they purchase .
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","So if one would like to buy the product only seeing the advertisements , I would like to say the one , ` Do not believe most advertisements but be wise and smart consumer ' ."
18,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Advertisements is a important part in selling products and a good advertisements will bring benefits .
19,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","This statement is controversial , in the one hand the advertisements often show a good product , better than the other and the cheapest of the range ."
20,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In the other hand , some brands are well known , has loyal customers and does not want to lose them by showing products better than they are ."
21,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","However , my personal point of view think that most advertisements make products seem much better than in the reality ."
22,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Firstly , before going any further , I would like to give an example which comes in my mind , the washing powder on advertisements can fight against everything like ice cream on a jean or fruit juice pour on a tee shirt ."
23,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Moreover , the washing powder can wash efficiently in a cold water so people can save money ."
24,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","According to me , this example seems exaggerate to sell a product ."
25,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Secondly , some advertisements put the best product in the advertisement but show the price of a low range product ."
26,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The goal is to show that everybody can afford to have a good brand .
27,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Everybody has already seen a car advertisement , we can see the price written in big and the thing that nobody can see is written in small letters ."
28,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Thirdly , advertising campaigns are very expensive , they use to call actors to show up the products , some professionals are here to take the best photos they can and the best advertisement to show on television ."
29,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","For instance , when a child acts for a cookie , he always enjoys the product and argue next to her mother to buy this delicious cookies ."
30,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The advertisement wants to reproduce the scene at home , and generally it works ."
31,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In a nutshell , I am totally convinced that nowadays , to have market shares , advertisements are definitely fake and they show products better than the reality ."
32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","Nowadays , there 're so many debatable issues about young people 's life style ."
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","Especially , some people think young people do n't give enough time to helping their communities , so they look down young people ."
34,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","However , I think young generation spend enough time for their communities and they should n't spend more time to helping communities ."
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","Because there 's an major volunteering class ( in school ) , young people has numerous things to do without helping communities and Yong people 's time is for dreaming ."
36,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","First of all , there 're a lot of programs to make young people help communities , and almost young people do it ."
37,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","For example , almost schools forced students to spend the time to helping communities in Korea ."
